model_type,params,f1_score
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.00001'}",71.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100', 'epsilon': '0.0001'}",71.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.00001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200', 'epsilon': '0.0001'}",71.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50', 'epsilon': '0.0001'}",70.8
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.00001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100', 'epsilon': '0.0001'}",70.9
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.00001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200', 'epsilon': '0.0001'}",71.0
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.00001'}",70.8
